Valor Objetivo Final = 86.99999999965114
dia,demanda,dias_vence,inventario,comprados
1,7,1,0,22
1,7,2,0,22
1,7,3,0,22
1,7,4,15,22
1,7,5,0,22
1,7,6,0,22
1,7,7,0,22
1,7,8,0,22
1,7,9,0,22
1,7,10,0,22
1,7,11,0,22
1,7,12,0,22
1,7,13,0,22
1,7,14,0,22
1,7,15,0,22
1,7,16,0,22
1,7,17,0,22
1,7,18,0,22
1,7,19,0,22
1,7,20,0,22
1,7,21,0,22
1,7,22,0,22
1,7,23,0,22
1,7,24,0,22
1,7,25,0,22
1,7,26,0,22
1,7,27,0,22
1,7,28,0,22
2,11,1,0,0
2,11,2,0,0
2,11,3,4,0
2,11,4,0,0
2,11,5,0,0
2,11,6,0,0
2,11,7,0,0
2,11,8,0,0
2,11,9,0,0
2,11,10,0,0
2,11,11,0,0
2,11,12,0,0
2,11,13,0,0
2,11,14,0,0
2,11,15,0,0
2,11,16,0,0
2,11,17,0,0
2,11,18,0,0
2,11,19,0,0
2,11,20,0,0
2,11,21,0,0
2,11,22,0,0
2,11,23,0,0
2,11,24,0,0
2,11,25,0,0
2,11,26,0,0
2,11,27,0,0
2,11,28,0,0
3,10,1,0,31
3,10,2,4,31
3,10,3,0,31
3,10,4,21,31
3,10,5,0,31
3,10,6,0,31
3,10,7,0,31
3,10,8,0,31
3,10,9,0,31
3,10,10,0,31
3,10,11,0,31
3,10,12,0,31
3,10,13,0,31
3,10,14,0,31
3,10,15,0,31
3,10,16,0,31
3,10,17,0,31
3,10,18,0,31
3,10,19,0,31
3,10,20,0,31
3,10,21,0,31
3,10,22,0,31
3,10,23,0,31
3,10,24,0,31
3,10,25,0,31
3,10,26,0,31
3,10,27,0,31
3,10,28,0,31
4,9,1,0,0
4,9,2,0,0
4,9,3,16,0
4,9,4,0,0
4,9,5,0,0
4,9,6,0,0
4,9,7,0,0
4,9,8,0,0
4,9,9,0,0
4,9,10,0,0
4,9,11,0,0
4,9,12,0,0
4,9,13,0,0
4,9,14,0,0
4,9,15,0,0
4,9,16,0,0
4,9,17,0,0
4,9,18,0,0
4,9,19,0,0
4,9,20,0,0
4,9,21,0,0
4,9,22,0,0
4,9,23,0,0
4,9,24,0,0
4,9,25,0,0
4,9,26,0,0
4,9,27,0,0
4,9,28,0,0
5,7,1,0,0
5,7,2,9,0
5,7,3,0,0
5,7,4,0,0
5,7,5,0,0
5,7,6,0,0
5,7,7,0,0
5,7,8,0,0
5,7,9,0,0
5,7,10,0,0
5,7,11,0,0
5,7,12,0,0
5,7,13,0,0
5,7,14,0,0
5,7,15,0,0
5,7,16,0,0
5,7,17,0,0
5,7,18,0,0
5,7,19,0,0
5,7,20,0,0
5,7,21,0,0
5,7,22,0,0
5,7,23,0,0
5,7,24,0,0
5,7,25,0,0
5,7,26,0,0
5,7,27,0,0
5,7,28,0,0
6,9,1,0,0
6,9,2,0,0
6,9,3,0,0
6,9,4,0,0
6,9,5,0,0
6,9,6,0,0
6,9,7,0,0
6,9,8,0,0
6,9,9,0,0
6,9,10,0,0
6,9,11,0,0
6,9,12,0,0
6,9,13,0,0
6,9,14,0,0
6,9,15,0,0
6,9,16,0,0
6,9,17,0,0
6,9,18,0,0
6,9,19,0,0
6,9,20,0,0
6,9,21,0,0
6,9,22,0,0
6,9,23,0,0
6,9,24,0,0
6,9,25,0,0
6,9,26,0,0
6,9,27,0,0
6,9,28,0,0
7,7,1,0,37
7,7,2,0,37
7,7,3,0,37
7,7,4,30,37
7,7,5,0,37
7,7,6,0,37
7,7,7,0,37
7,7,8,0,37
7,7,9,0,37
7,7,10,0,37
7,7,11,0,37
7,7,12,0,37
7,7,13,0,37
7,7,14,0,37
7,7,15,0,37
7,7,16,0,37
7,7,17,0,37
7,7,18,0,37
7,7,19,0,37
7,7,20,0,37
7,7,21,0,37
7,7,22,0,37
7,7,23,0,37
7,7,24,0,37
7,7,25,0,37
7,7,26,0,37
7,7,27,0,37
7,7,28,0,37
8,9,1,0,0
8,9,2,0,0
8,9,3,21,0
8,9,4,0,0
8,9,5,0,0
8,9,6,0,0
8,9,7,0,0
8,9,8,0,0
8,9,9,0,0
8,9,10,0,0
8,9,11,0,0
8,9,12,0,0
8,9,13,0,0
8,9,14,0,0
8,9,15,0,0
8,9,16,0,0
8,9,17,0,0
8,9,18,0,0
8,9,19,0,0
8,9,20,0,0
8,9,21,0,0
8,9,22,0,0
8,9,23,0,0
8,9,24,0,0
8,9,25,0,0
8,9,26,0,0
8,9,27,0,0
8,9,28,0,0
9,10,1,0,0
9,10,2,11,0
9,10,3,0,0
9,10,4,0,0
9,10,5,0,0
9,10,6,0,0
9,10,7,0,0
9,10,8,0,0
9,10,9,0,0
9,10,10,0,0
9,10,11,0,0
9,10,12,0,0
9,10,13,0,0
9,10,14,0,0
9,10,15,0,0
9,10,16,0,0
9,10,17,0,0
9,10,18,0,0
9,10,19,0,0
9,10,20,0,0
9,10,21,0,0
9,10,22,0,0
9,10,23,0,0
9,10,24,0,0
9,10,25,0,0
9,10,26,0,0
9,10,27,0,0
9,10,28,0,0
10,11,1,0,22
10,11,2,0,22
10,11,3,0,22
10,11,4,22,22
10,11,5,0,22
10,11,6,0,22
10,11,7,0,22
10,11,8,0,22
10,11,9,0,22
10,11,10,0,22
10,11,11,0,22
10,11,12,0,22
10,11,13,0,22
